[2018-08-18 17:06:56:0641] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0641] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0641] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0652] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0652] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0652] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0652] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0663] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0663] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0663] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0663] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0674] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0674] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0674] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0674] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0685] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0685] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0685] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0685] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0696] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0696] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0696] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0696] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0707] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0707] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0707] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0707] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0718] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0718] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:56:0718] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:56:0718] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
